price_per_unit,id,product_name,vendor
$1.02/100g,3543,Thomas' Cinnamon Raisin Muffin 342 g,Voila
$1.27/100g,3660,Longo's Father's Day Cookie 12-Inch 612 g,Voila
$2.75/100g,3664,Panache Profiteroles Mini 400 g (frozen),Voila
$1.15/100g,3872,Oreo Double Stuf Sandwich Cookies 1 Family Size Resealable Pack 436 g,Voila
$1.14/100g,3872,Oreo Double Stuf Sandwich Cookies 1 Family Size Resealable Pack 436 g,Voila
$1.14/100g,3873,Oreo Original Cookies 439 G,Voila
$2.26/100g,3917,Top Dessert Mini Cupcakes St. Paddy Assorted 300 g (frozen),Voila
$2.00/100g,3918,Top Dessert Rainbow Bar Cake Raspberry Lemon 500 g (frozen),Voila
$2.29/100g,3920,Two Bite Canada Day Assorted Cupcakes 284 g,Voila
$0.81/100g,4059,Kraft Cheese Pizza Kit 450 g,Voila
$1.54/100g,4091,Philadelphia French Onion Dip,Voila
$1.76/100g,4091,Philadelphia French Onion Dip,Voila
$1.32/100g,4091,Philadelphia French Onion Dip,Voila
$1.47/100g,4195,Marzetti Veggie Dip French Onion 340 g,Voila
$1.47/100g,4198,Marzetti Veggie Dip Spinach Blend 340 g,Voila
$0.40/100g,4318,Cavendish Farms French Fries Straight Cut Flavor Crisp Spicy 750 g (frozen),Voila
$0.53/100g,4320,Cavendish Farms Fries Thin Crust Restaurant Style Drive Thru 750 g (frozen),Voila
$0.53/100g,4323,Cavendish Farms Frozen Restaurant Style Pub Fries 750 g,Voila
$0.40/100g,4324,Cavendish Farms Frozen Simply Homestyle French Fries Straight Cut 750 g ,Voila
$1.51/100g,4340,Compliments Frozen Meat & Vegetable Pie 660 g,Voila
$0.61/100g,4445,McCain Bistro Selects Super Crisps French Fries Steak Cut 650 g,Voila
$0.46/100g,4445,McCain Bistro Selects Super Crisps French Fries Steak Cut 650 g,Voila
$0.38/100g,4445,McCain Bistro Selects Super Crisps French Fries Steak Cut 650 g,Voila
$1.69/100g,4468,Montana's Frozen Braised Beef Pot Pie 650 g,Voila
$0.92/100g,4468,Montana's Frozen Braised Beef Pot Pie 650 g,Voila
$1.38/100g,4468,Montana's Frozen Braised Beef Pot Pie 650 g,Voila
$1.93/100g,4485,Prime Frozen Stuffed Chicken Breast Butter & Chive Raised Without Antibiotics 568 g,Voila
$2.29/100g,4485,Prime Frozen Stuffed Chicken Breast Butter & Chive Raised Without Antibiotics 568 g,Voila
$2.64/100g,4485,Prime Frozen Stuffed Chicken Breast Butter & Chive Raised Without Antibiotics 568 g,Voila
$1.93/100g,4487,Prime Frozen Stuffed Chicken Ham & Mozzarella Raised Without Antibiotics 568 g,Voila
$2.29/100g,4487,Prime Frozen Stuffed Chicken Ham & Mozzarella Raised Without Antibiotics 568 g,Voila
$2.64/100g,4487,Prime Frozen Stuffed Chicken Ham & Mozzarella Raised Without Antibiotics 568 g,Voila
$1.56/100g,4499,Smart Ones Santa Fe Style Rice & Beans Frozen Meal 255 g,Voila
$1.17/100g,4499,Smart Ones Santa Fe Style Rice & Beans Frozen Meal 255 g,Voila
$1.56/100g,4500,Smart Ones Slow Roasted Turkey Breast 255 g (frozen),Voila
$1.17/100g,4500,Smart Ones Slow Roasted Turkey Breast 255 g (frozen),Voila
$1.50/100g,4526,Wong Wing Frozen Lemon Chicken 400 g,Voila
$2.00/100g,4526,Wong Wing Frozen Lemon Chicken 400 g,Voila
$2.14/100g,4620,Dr. Oetker The Good Baker Vegan Frozen Pizza Spinach & Pumpkin Seeds 350 g,Voila
$2.77/100g,4654,Dr. Oetker Momenti Frozen Pizza Vegetarian Spinach 180 g,Voila
$1.87/100g,4735,Compliments Frozen Chicken Breast Chunks Breaded and Seasoned with Honey Garlic Sauce 800 g,Voila
$1.87/100g,4736,Compliments Frozen Chicken Breast Fillets Breaded and Seasoned with Plum Sauce 800 g,Voila
$1.67/100g,4745,Pinty's Frozen Chicken Wings Honey And Garlic  780 g,Voila
$1.67/100g,4746,Pinty's Frozen Crispy Chiicken Wings Mustard Whiskey 780 g,Voila
$3.54/100g,4755,Longo’s Fresh Cooked Lobster Markets Size Surf ’N’ Turf 17-24 oz  480 g 1 Count,Voila
$0.18/item,4884,Compliments Ice Cream Cones 18 EA,Voila
$0.18/item,4886,Compliments Ice Cream Cups 18 EA,Voila
$0.18/item,4887,Compliments Ice Cream Cups Assorted Colours 18 EA,Voila
$0.27/item,4888,Compliments Sugar Ice Cream Cones 12 Count,Voila
$0.47/100ml,4895,Panache Ice Cream Pistachio Light 1.5 L,Voila
$1.66/100ml,4985,Christie Frozen Dessert Bars Oreo Cookie Pieces 5 x 72 ml,Voila
$1.53/100ml,4985,Christie Frozen Dessert Bars Oreo Cookie Pieces 5 x 72 ml,Voila
$1.20/100ml,4986,Christie Frozen Dessert Oreo Sandwiches 4 x 125 ml,Voila
$1.10/100ml,4986,Christie Frozen Dessert Oreo Sandwiches 4 x 125 ml,Voila
$0.40/100ml,4987,Christie Oreo Frozen Dessert 1.5 L,Voila
$2.00/item,5095,Magnum Ice Cream Bars Almond Duet For An Indulgent Frozen Treat 3 x 85 ml,Voila
$1.66/item,5095,Magnum Ice Cream Bars Almond Duet For An Indulgent Frozen Treat 3 x 85 ml,Voila
$2.17/100g,5137,Panache Gluten-Free Selection Frozen New York Cheesecake 600 g ,Voila
$0.72/100g,5177,Cavendish Farms All Day Breakfast Waffles Hash Browns 625 g (frozen),Voila
